id,symbol,airport name,city,latitude,longitude,xcoordviz,ycoordviz
44,AGS,Augusta Rgnl At Bush Fld,Bush Field,33.369944,-81.9645,1536676.8450249846,-573111.5715986802
45,ALB,Albany Intl,Albany,42.748267,-73.801692,1996824.7636517251,596540.3012669055
46,FLL,Fort Lauderdale Hollywood Intl,Fort Lauderdale,26.072583,-80.15275,1866256.1250839226,-1339489.209742453
47,EWR,Newark Liberty Intl,Newark,40.6925,-74.168667,2028308.9824986376,369350.21885908634
48,CVG,Cincinnati Northern Kentucky Intl,Cincinnati,39.048836,-84.667822,1193083.9896757056,5248.5290472753995
49,JFK,John F Kennedy Intl,New York,40.639751,-73.778925,2061461.583418367,372504.8108358531
50,PHL,Philadelphia Intl,Philadelphia,39.871944,-75.241139,1964236.1949379789,258261.52506373893
51,FAI,Fairbanks Intl,Fairbanks,64.815114,-147.856267,-2507345.861563958,3575826.653877699
52,SCC,Deadhorse,Deadhorse,70.19475,-148.465167,-2170511.69018128,4188906.7602069005
53,JNU,Juneau Intl,Juneau,58.354972,-134.576278,-2177534.4475894854,2530764.8560374454
54,CDV,Merle K Mudhole Smith,Cordova,60.491778,-145.477556,-2659347.8727032146,3050219.7025455516
55,HNL,Honolulu Intl,Hickam Afb,21.318681,-157.922428,-5959648.645639613,-53146.22800224139
56,OGG,Kahului,Kahului,20.89865,-156.430458,-5859737.242453494,-188884.17797784033
57,BET,Bethel,Bethel,60.779778,-161.838,-3433454.336335461,3628766.166113495
58,OTZ,Ralph Wien Mem,Kotzebue,66.884678,-162.59855,-2976319.9452694855,4235785.713468112
59,OME,Nome,Nome,64.512203,-165.445247,-3286475.3515015766,4107688.168952309
60,ASE,Aspen-Pitkin Co/Sardy Field Airport,Aspen,39.2232018,-106.8690033,-710891.9590941757,-34560.32607669535
61,GSO,Piedmont Triad,Greensboro,36.09775,-79.937306,1660181.5729897243,-241260.52385121744
62,TYS,Mc Ghee Tyson,Knoxville,35.810972,-83.994028,1307531.4641232223,-338685.21240583964
63,OMA,Eppley Afld,Omaha,41.303167,-95.894069,223850.44613886866,166062.78372621236
64,PIT,Pittsburgh Intl,Pittsburgh (pennsylva),40.491467,-80.232872,1536923.8858708919,228738.65787280694
65,AUS,Austin Bergstrom Intl,Austin,30.194528,-97.669889,88175.65594947287,-1066525.628899679
66,BHM,Birmingham Intl,Birmingham,33.562942,-86.75355,1094004.0338517155,-621311.0056195256
67,CHA,Lovell Fld,Chattanooga,35.035278,-85.203808,1212481.7937497648,-440212.67206920375
68,GSP,Greenville-Spartanburg International,Greenville,34.895556,-82.218889,1483157.4299259784,-411188.00202741637
69,MOB,Mobile Rgnl,Mobile,30.691231,-88.242814,993086.8842308833,-955056.5589513908
70,BUF,Buffalo Niagara Intl,Buffalo,42.940525,-78.732167,1602024.7283396923,519543.3818900278
71,MKE,General Mitchell Intl,Milwaukee,42.947222,-87.896583,867122.0722329535,395666.3628323466
72,BNA,Nashville Intl,Nashville,36.124472,-86.678194,1063924.1472564891,-339428.44593640853
73,JAN,Jackson Evers Intl,Jackson,32.311167,-90.075889,800719.8583291527,-793949.76988845
74,VPS,Eglin Afb,Valparaiso,30.48325,-86.5254,1160243.6172127433,-957708.9756239528
75,SAT,San Antonio Intl,San Antonio,29.533694,-98.469778,10768.450548652105,-1140725.8674282175
76,PNS,Pensacola Rgnl,Pensacola,30.473425,-87.186611,1097083.2023256975,-967007.2879382981
77,JAX,Jacksonville Intl,Jacksonville,30.494056,-81.687861,1621033.1136361817,-882473.4875435185
78,RSW,Southwest Florida Intl,Fort Myers,26.536167,-81.755167,1696288.5967912276,-1319576.4497978839
79,LGA,La Guardia,New York,40.777245,-73.872608,2049788.2932132983,385016.72477103746
80,MIA,Miami Intl,Miami,25.79325,-80.290556,1858797.470259799,-1373228.0373356258
81,RDU,Raleigh Durham Intl,Raleigh-durham,35.877639,-78.787472,1766257.4418706377,-243366.18888291114
82,STT,Cyril E King,St. Thomas,18.337306,-64.973361,3670383.154297264,-1730800.0900722758
83,SJU,Luis Munoz Marin Intl,San Juan,18.439417,-66.001833,3558801.676201803,-1760547.0865396904
84,CAE,Columbia Metropolitan,Colombia,33.938833,-81.119528,1601847.2753826017,-496594.2908188236
85,PBI,Palm Beach Intl,West Palm Beach,26.683161,-80.095589,1858053.3088991088,-1270864.5594750317
86,RIC,Richmond Intl,Richmond,37.505167,-77.319667,1853249.9921150175,-38911.263761396825
87,CMH,Port Columbus Intl,Columbus,39.997972,-82.891889,1325952.027082592,133288.94568884894
88,SNA,John Wayne Arpt Orange Co,Santa Ana,33.675667,-117.868222,-1773264.8287615827,-491209.85690945154
89,GPT,Gulfport-Biloxi,Gulfport,30.407278,-89.070111,917217.4772202034,-995207.680482372
90,SDF,Louisville International Airport,Louisville,38.1740858,-85.7364989,1115677.1500408128,-103862.49435194767
91,DAY,James M Cox Dayton Intl,Dayton,39.902375,-84.219375,1216394.3102972184,104305.31946728012
92,CHS,Charleston Afb Intl,Charleston,32.898647,-80.040528,1722857.1365700944,-589891.303270772
93,ORF,Norfolk Intl,Norfolk,36.894611,-76.201222,1965253.3671500627,-80906.28734048754
94,SRQ,Sarasota Bradenton Intl,Sarasota,27.395444,-82.554389,1599599.2155788138,-1238916.9609806652
95,MSY,Louis Armstrong New Orleans Intl,New Orleans,29.993389,-90.258028,807209.1883107552,-1052419.6256611177
96,PWM,Portland Intl Jetport,Portland,43.646161,-70.309281,2239270.1976953633,773229.5513591672
97,IND,Indianapolis Intl,Indianapolis,39.717331,-86.294383,1044551.8536148345,58273.96115821243
98,LIT,Adams Fld,Little Rock,34.729444,-92.224306,580089.0637112913,-543148.2107009798
99,LEX,Blue Grass,Lexington KY,38.0365,-84.605889,1215472.9717796047,-104386.66922813863
100,HSV,Huntsville International Airport-Carl T Jones Field,HUNTSVILLE,34.6371944,-86.7750556,1076617.1990693454,-503622.1280504771
101,COS,City Of Colorado Springs Muni,Colorado Springs,38.805805,-104.700778,-528370.8069474394,-95288.46410024668
102,DAB,Daytona Beach Intl,Daytona Beach,29.179917,-81.058056,1708845.9701571434,-1015015.6054389167
103,BDL,Bradley Intl,Windsor Locks,41.938889,-72.683222,2109740.027936228,535707.4651540301
104,SAV,Savannah Hilton Head Intl,Savannah,32.127583,-81.202139,1632540.5011047688,-695258.2520648942
105,MEM,Memphis Intl,Memphis,35.042417,-89.976667,781427.0100458119,-491802.30297797447
106,ONT,Ontario Intl,Ontario,34.056,-117.601194,-1740324.3883799922,-455178.2430180657
107,SJC,Norman Y Mineta San Jose Intl,San Jose,37.3626,-121.929022,-2035481.0838282523,-9491.33697179919
108,ROC,Greater Rochester Intl,Rochester,43.118866,-77.672389,1681585.3500147476,557948.0119586233
109,BOS,General Edward Lawrence Logan Intl,Boston,42.364347,-71.005181,2228293.1476084627,620808.6187888989
110,DCA,Ronald Reagan Washington Natl,Washington,38.852083,-77.037722,1842443.8515862313,111430.0737734693
111,MLB,Melbourne Intl,Melbourne,28.102753,-80.645258,1772240.1638171277,-1125453.6435897283
112,CHO,Charlottesville-Albemarle,Charlottesville VA,38.138639,-78.452861,1740772.2412652995,6819.799768948782
113,SGF,Springfield Branson Natl,Springfield,37.245667,-93.388639,458070.13391772966,-272261.1531184023
114,BTV,Burlington Intl,Burlington,44.471861,-73.153278,1994959.9951425754,794606.9862901471
115,DSM,Des Moines Intl,Des Moines,41.533972,-93.663083,408264.79770420166,199317.08063792594
116,TUL,Tulsa Intl,Tulsa,36.198389,-95.888111,241044.98580497364,-397461.3786778413
117,PHF,Newport News Williamsburg Intl,Newport News,37.131894,-76.492989,1933834.0878677263,-61739.693038580466
118,OAJ,Albert J Ellis,Jacksonville NC,34.829164,-77.612139,1895841.1101538113,-332715.19004921353
119,CAK,Akron Canton Regional Airport,AKRON,40.9160833,-81.4421944,1428071.8702445212,255033.7196875158
120,BTR,Baton Rouge Metro Ryan Fld,Baton Rouge,30.533167,-91.149639,716013.4506202812,-999923.9629317661
121,ROA,Roanoke Regional,Roanoke VA,37.325472,-79.975417,1629264.197477423,-109171.88044556756
122,CSG,Columbus Metropolitan Airport,Columbus,32.5163333,-84.9388611,1278051.1684195257,-712561.8843156538
123,XNA,NW Arkansas Regional,Bentonville,36.2818694,-94.3068111,382123.7282747566,-382821.9079438165
124,MSN,Dane Co Rgnl Truax Fld,Madison,43.139858,-89.337514,748437.5286984771,404065.66674143256
125,MHT,Manchester Regional Airport,Manchester NH,42.932556,-71.435667,2176045.5459391875,670446.263178569
126,SWF,Stewart Intl,Newburgh,41.504094,-74.104839,2009616.7176770908,457239.4958954651
127,FAY,Fayetteville Regional Grannis Field,Fayetteville,34.9912,-78.8803,1779184.2457774614,-340880.33089819236
128,CRW,Yeager,Charleston,38.373147,-81.593189,1467827.0150774096,-23268.246385257058
129,PFN,Panama City Bay Co Intl,Panama City,30.212083,-85.682806,1245091.6113623541,-976506.6041660885
130,VLD,Valdosta Regional Airport,Valdosta,30.7825,-83.2767,1464695.7848422595,-877813.6245413478
131,FLO,Florence Rgnl,Florence,34.185361,-79.723889,1722487.8937944002,-444310.15838304866
132,TLH,Tallahassee Rgnl,Tallahassee,30.396528,-84.350333,1369517.6554656255,-936999.2026253114
133,ICT,Wichita Mid Continent,Wichita,37.649944,-97.433056,100691.85347153556,-240071.10631223634
134,SYR,Syracuse Hancock Intl,Syracuse,43.111187,-76.106311,1805266.0073160143,587167.5754433825
135,PVD,Theodore Francis Green State,Providence,41.732581,-71.420383,2216330.9715408776,543915.4601705346
136,MLI,Quad City Intl,Moline,41.448528,-90.507539,670561.643912585,208626.16257683263
137,FNT,Bishop International,Flint,42.965424,-83.743629,1201293.4831142665,444934.3742479694
138,LFT,Lafayette Rgnl,Lafayette,30.205278,-91.987611,638064.0639364052,-1042614.1290455147
139,DHN,Dothan Rgnl,Dothan,31.321339,-85.449628,1249656.5761288595,-851014.6513076677
140,EVV,Evansville Regional,Evansville,38.036997,-87.532364,962343.5001862859,-139402.12593555113
141,SHV,Shreveport Rgnl,Shreveport,32.446629,-93.8256,447322.170127762,-804699.7507959619
142,OKC,Will Rogers World,Oklahoma City,35.393089,-97.600733,88658.66347896907,-489563.08829662984
143,ILM,Wilmington Intl,Wilmington,34.270615,-77.902569,1883983.0710476404,-398951.7015173635
144,TRI,Tri-Cities Regional Airport,BRISTOL,36.4752222,-82.4074167,1435336.4274253077,-242386.61950645014
145,GNV,Gainesville Rgnl,Gainesville,29.690056,-82.271778,1581622.5407337488,-980966.7664528941
146,GRR,Gerald R Ford Intl,Grand Rapids,42.880833,-85.522806,1059636.8540345128,413543.2195854831
147,SBN,South Bend Rgnl,South Bend,41.708661,-86.31725,1013018.6045793279,276037.90947319067
148,MDT,Harrisburg Intl,Harrisburg,40.193494,-76.763403,1830235.382430788,260903.59909926073
149,PIA,Peoria Regional,Peoria,40.664203,-89.693258,746459.4174992065,128671.27299125843
150,GRK,Robert Gray Aaf,Killeen,31.06725,-97.828917,71965.01651385809,-969431.0630626942
151,FWA,Fort Wayne,Fort Wayne,40.978472,-85.195139,1116918.3659976786,209273.10453076873
152,ATW,Appleton,Appleton,44.257526,-88.507576,801673.838019251,534359.3728899277
153,AVL,Asheville Regional Airport,Asheville,35.436194,-82.541806,1443694.724296475,-357545.74350717885
154,MLU,Monroe Rgnl,Monroe,32.510864,-92.037689,614775.6363373551,-787134.432290757
155,CID,Cedar Rapids,Cedar Rapids,41.884694,-91.710806,567173.9385600152,248498.23542247634
156,AVP,Wilkes Barre Scranton Intl,Scranton,41.338478,-75.723403,1884192.7120342965,404870.26057516015
157,HPN,Westchester Co,White Plains,41.066959,-73.707575,2054484.036629298,419574.01372641587
158,BMI,Central Illinois Rgnl,Bloomington,40.477111,-88.915917,813711.279593896,114782.31577574842
159,LYH,Lynchburg Regional Preston Glenn Field,Lynchburg,37.3267,-79.2004,1696095.3014501806,-94859.02327085251
160,GTR,Golden Triangle Regional Airport,Columbus Mississippi,33.450333,-88.591361,926115.1758712146,-654128.7645422242
161,MEI,Key Field,Meridian MS,32.3325996,-88.7518997,924672.0804171492,-779012.8037879614
162,BQK,Brunswick Golden Isles Airport,Brunswick,31.2588,-81.4665,1626082.8037658457,-794844.3850936581
163,MYR,Myrtle Beach Intl,Myrtle Beach,33.67975,-78.928333,1806063.5716676286,-483610.1883946271
164,EWN,Craven Co Rgnl,New Bern,35.072972,-77.042944,1940019.7257856522,-294467.199936415
165,MGM,Montgomery Regional Airport ,MONTGOMERY,32.3006389,-86.3939722,1145789.3426070688,-755673.0068174587
166,EYW,Key West Intl,Key West,24.556111,-81.759556,1737078.5467243365,-1539843.8587390431
167,FSM,Fort Smith Rgnl,Fort Smith,35.336583,-94.367444,381547.2018392285,-487443.565729896
168,LAW,Lawton-Fort Sill Regional Airport,Lawton,34.5677144,-98.4166367,14954.619178820534,-581324.3591300328
169,HRL,Valley Intl,Harlingen,26.2285,-97.654389,94207.7126110858,-1511277.8968175598
170,LGB,Long Beach,Long Beach,33.817722,-118.151611,-1795554.0429928252,-470266.7574672992
171,AZO,Kalamazoo,Kalamazoo,42.234875,-85.552058,1067494.196969394,342438.81580936
172,BFL,Meadows Fld,Bakersfield,35.433598,-119.05677,-1837265.9997966303,-277684.93645544705
173,BGM,Greater Binghamton Edwin A Link Fld,Binghamton,42.208689,-75.979839,1839806.4577887007,492855.1001779474
174,BGR,Bangor Intl,Bangor,44.807444,-68.828139,2311036.422412149,932670.8086961156
175,BIL,Billings Logan International Airport,Billings,45.80921,-108.537654,-773716.3272181915,704777.5113616447
176,BIS,Bismarck Municipal Airport,Bismarck,46.775842,-100.757931,-166967.62852991442,772087.4947816432
177,BOI,Boise Air Terminal,Boise,43.564361,-116.222861,-1413100.146493183,550616.1056345217
178,GEG,Spokane Intl,Spokane,47.619861,-117.533833,-1423164.7576374474,1013345.3916424373
179,RNO,Reno Tahoe Intl,Reno,39.499108,-119.768108,-1796202.0147183575,173814.44944073985
180,BQN,Rafael Hernandez,Aguadilla,18.494861,-67.129444,3438475.4353548186,-1797875.6102991705
181,BRO,Brownsville South Padre Island Intl,Brownsville,25.906833,-97.425861,117927.2058723244,-1547329.925811213
182,BRW,Wiley Post Will Rogers Mem,Barrow,71.285446,-156.766003,-2396393.6589338365,4520830.3403587565
183,BTM,Bert Mooney Airport,Butte,45.954806,-112.497472,-1076859.8074121894,761179.1586881386
184,BUR,Bob Hope,Burbank,34.200667,-118.358667,-1805093.4362685902,-424747.5061625477
185,ISP,Long Island Mac Arthur,Islip,40.79525,-73.100222,2111655.30437667,404616.02558074985
186,BZN,Gallatin Field,Bozeman,45.777643,-111.160151,-976804.4866302466,726550.4431634819
187,CDC,Cedar City Rgnl,Cedar City,37.700967,-113.098847,-1268351.9454613207,-133535.09237184425
188,YAK,Yakutat,Yakutat,59.3012,-139.3937,-2401647.3633602113,2754538.778082332
189,CIC,Chico Muni,Chico,39.795383,-121.858422,-1961403.67914305,248777.7036890917
190,CLD,McClellan-Palomar Airport,Carlsbad,33.0742,-117.1648,-1723056.4612611874,-569966.6105047453
191,CLL,Easterwood Fld,College Station,30.588583,-96.363833,213623.3376331853,-1020432.5015961705
192,CMI,Champaign,Champaign,40.03925,-88.278056,872666.898727698,72627.40600579015
193,CMX,Houghton County Memorial Airport,Hancock,47.1684,-88.4891,767230.6538823326,856560.5660624834
194,COD,Yellowstone Rgnl,Cody,44.520194,-109.023806,-827761.1633355017,566659.3238981395
195,CPR,Natrona Co Intl,Casper,42.908,-106.464417,-640989.0000168082,368117.77003003075
196,CRP,Corpus Christi Intl,Corpus Christi,27.770361,-97.501222,107736.0278234633,-1337568.6514533535
197,HTS,Tri State Milton J Ferguson Field,Huntington,38.3667,-82.558,1385474.8405517663,-39115.24221721321
198,FSD,Sioux Falls,Sioux Falls,43.582014,-96.741914,148100.26453975614,416464.1508829189
199,CWA,Central Wisconsin,Wassau,44.772726,-89.646635,705711.9730829339,581801.14429323
200,DBQ,Dubuque Rgnl,Dubuque IA,42.402,-90.709472,644707.840509679,312216.96651084156
201,DRO,Durango La Plata Co,Durango,37.151516,-107.75377,-809579.3460773878,-254847.92662357204
202,EGE,Eagle Co Rgnl,Vail,39.642556,-106.917694,-710813.6193388422,11931.925964324251
203,GCC,Gillette-Campbell County Airport,Gillette,44.3489167,-105.5393611,-553719.5965407402,521240.9743573076
204,GJT,Grand Junction Regional,Grand Junction,39.122413,-108.526735,-853759.4203874335,-31361.54768476601
205,JAC,Jackson Hole Airport,Jacksn Hole,43.607333333,-110.73775,-976360.0524841256,483182.4874918997
206,MTJ,Montrose Regional Airport,Montrose CO,38.509794,-107.894242,-806587.7775935413,-104398.3768734233
207,RAP,Rapid City Regional Airport,Rapid City,44.045278,-103.057222,-358092.37593607063,475159.2985934772
208,RKS,Rock Springs Sweetwater County Airport,Rock Springs,41.5942,-109.065,-868324.7008476214,245077.41433387663
209,LNK,Lincoln,Lincoln,40.850971,-96.75925,152757.83829616502,114309.73918826159
210,HLN,Helena Rgnl,Helena,46.606806,-111.98275,-1026649.0869598903,827072.7819001836
211,MFR,Rogue Valley Intl Medford,Medford,42.374228,-122.8735,-1969636.2716209819,546059.4656708031
212,GUC,Crested Butte Regional Airport,Gunnison,38.5338889,-106.9330556,-723355.6055933046,-109841.96130940875
213,HDN,Yampa Valley,Hayden,40.481181,-107.21766,-727520.2453384706,106525.46116721704
214,FCA,Glacier Park Intl,Kalispell,48.310472,-114.256,-1166477.3884117978,1042585.42116879
215,IDA,Idaho Falls Rgnl,Idaho Falls,43.514556,-112.07075,-1084182.8527211535,488113.865626578
216,PSC,Tri Cities Airport,Pasco,46.2647,-119.119,-1574142.3177542028,891733.4456523889
217,FAR,Hector International Airport,Fargo,46.92065,-96.8157639,134943.03519272633,787560.1172819093
218,GTF,Great Falls Intl,Great Falls,47.482,-111.370689,-966370.6283796978,917091.5330178717
219,SBA,Santa Barbara Muni,Santa Barbara,34.426211,-119.840372,-1932144.8719515905,-369944.99726237135
220,EUG,Mahlon Sweet Fld,Eugene,44.124583,-123.211972,-1944484.1835637826,740291.6525465876
221,FAT,Fresno Yosemite Intl,Fresno,36.776194,-119.71814,-1861349.942039523,-119734.24450191199
222,MRY,Monterey Peninsula,Monterey,36.587,-121.842944,-2049832.0251897972,-94286.35204448513
223,MSO,Missoula Intl,Missoula,46.916306,-114.090556,-1180777.3129160365,886779.1612169233
224,PSP,Palm Springs Intl,Palm Springs,33.829667,-116.506694,-1646439.9567043951,-500124.3583769201
225,TXK,Texarkana Rgnl Webb Fld,Texarkana,33.453722,-93.991028,426132.8732921048,-693940.7933539803
226,LRD,Laredo Intl,Laredo,27.54375,-99.461556,-88287.3411142111,-1363232.4551232886
227,GGG,East Texas Rgnl,Longview,32.384014,-94.711486,364324.70716635894,-815599.4051217682
228,TYR,Tyler Pounds Rgnl,Tyler,32.354139,-95.402386,299403.24156509497,-821436.8956167183
229,ROW,Roswell Intl Air Center,Roswell,33.301556,-104.530556,-553513.403999605,-703439.592587909
230,SJT,San Angelo Rgnl Mathis Fld,San Angelo,31.35775,-100.496306,-182917.72088081334,-935474.0044263818
231,MFE,Mc Allen Miller Intl,Mcallen,26.175833,-98.238611,34769.062106683596,-1517636.4490183955
232,DLH,Duluth Intl,Duluth,46.842091,-92.193649,488724.2044875173,794660.6592040247
233,MBS,Mbs Intl,Saginaw,43.532913,-84.079647,1164330.7276667994,502614.9234604639
234,GRB,Austin Straubel Intl,Green Bay,44.485072,-88.129589,828729.7881686485,562845.9280937448
235,LAN,Capital City,Lansing,42.7787,-84.587357,1136705.5634151516,413664.2317617947
236,TVC,Cherry Capital Airport,Traverse City,44.741445,-85.582235,1025436.6343980166,617070.7367679061
237,ELM,Elmira Corning Rgnl,Elmira,42.159889,-76.891611,1768303.5972345062,469514.73362708394
238,ERI,Erie Intl Tom Ridge Fld,Erie,42.082022,-80.176217,1506241.196310775,401923.02536600624
239,SCE,University Park Airport,State College Pennsylvania,40.849278,-77.848694,1724431.3595275027,310148.9805113955
240,ITH,Ithaca Tompkins Rgnl,Ithaca,42.491028,-76.458444,1794095.5760016215,513587.112226921
241,EKO,Elko Regional Airport,Elko,40.8249,-115.792,-1436077.437846571,246306.70678663105
242,FLG,Flagstaff Pulliam Airport,Flagstaff,35.140318,-111.6692392,-1184985.5921816705,-432503.4598821074
243,GFK,Grand Forks Intl,Grand Forks,47.949256,-97.176111,105606.65093168379,902070.2926167516
244,MQT,Sawyer International Airport,Marquette,46.353611,-87.395278,861159.3805030818,776054.4866261786
245,ITO,Hilo Intl,Hilo,19.721375,-155.048469,-5817871.690890798,-387898.52375272097
246,KOA,Kona Intl At Keahole,Kona,19.738767,-156.045631,-5905485.681268821,-321942.0028454183
247,LIH,Lihue,Lihue,21.975983,-159.338958,-6033496.567215193,100014.35409288657
248,LCH,Lake Charles Rgnl,Lake Charles,30.126112,-93.223335,519135.6040166559,-1059293.5517655
249,IPL,Imperial Co,Imperial,32.834219,-115.578744,-1582758.8198885259,-624925.5371004931
250,IYK,Inyokern Airport,Inyokern,35.6587982,-117.8300018,-1723665.6335133223,-277416.55353086366
251,PSE,Mercedita,Ponce,18.008306,-66.563028,3517497.9326885296,-1829720.9115999385
252,SIT,Sitka Rocky Gutierrez,Sitka,57.047138,-135.361611,-2283011.1757568885,2408411.2832841733
253,KTN,Ketchikan Intl,Ketchikan,55.355556,-131.71375,-2137524.5741314082,2137122.969732806
254,PSG,Petersburg James A. Johnson,Petersburg,56.801667,-132.945278,-2151121.369431618,2322916.805756703
255,WRG,Wrangell Airport,Wrangell,56.4843,-132.37,-2130261.8468137803,2274892.1400192957
256,SMX,Santa Maria Pub Cpt G Allan Hancock Airport,Santa Maria,34.8989,-120.457,-1974642.7901243798,-305852.81870585977
257,OXR,Ventura County Camarillo Airport,Oxnard,34.2008333,-119.2072222,-1881225.8619702177,-407518.5484358107
258,SBP,San Luis County Regional Airport,San Luis Obispo,35.2368,-120.642,-1982028.913646271,-265539.74302824
259,SGU,St George Muni,Saint George,37.090583,-113.593056,-1322223.4676298264,-193006.11914582635
260,YUM,Yuma Mcas Yuma Intl,Yuma,32.656578,-114.60598,-1496612.2085295883,-660792.5779266449
261,LMT,Klamath Falls Airport,Klamath Falls,42.1561,-121.733,-1885311.639932734,498551.3925532924
262,LSE,LaCrosse Municipal,LaCrosse,43.878986,-91.256711,586811.2168047766,471549.5571436769
263,LWS,Lewiston Nez Perce Co,Lewiston,46.3745,-117.015389,-1412799.3236622098,869119.6805538477
264,STX,Henry E Rohlsen,St. Criox Island,17.701889,-64.798556,3715646.057194484,-1793122.0972723009
265,MOD,Modesto City Co Harry Sham,Modesto,37.625817,-120.954422,-1945197.3683472842,-2686.6664294609277
266,MOT,Minot Intl,Minot,48.259378,-101.280333,-202076.76122754443,939000.3273409171
267,ALO,Waterloo Regional Airport,Waterloo,42.5571,-92.4003,505281.52254650235,318632.93896824686
268,RST,Rochester,Rochester,43.908283,-92.500014,487132.73467420036,467443.1307384589
269,SPI,Abraham Lincoln Capital,Springfield,39.8441,-89.677889,756605.9626755654,38645.70387226766
270,TOL,Toledo,Toledo,41.586806,-83.807833,1220828.4694737163,293556.67726837524
